"n","d","p","q","pctB","mse_naive","mse_oracle","mse_adj","coverage_adj"
200,25,1,2,0.1,2.42639310784619,0.0169258784931931,0.016061894287665,0.9416
500,25,1,2,0.1,2.32983159755245,0.00727075709769192,0.00701665417224564,0.9448
200,100,1,2,0.1,1.94936600217468,0.0143956627698258,0.0141874787698439,0.9472
500,100,1,2,0.1,2.3728863299351,0.00721973117975782,0.00710607565241346,0.9474
200,25,5,2,0.1,1.82760536092398,0.0164791583247821,0.0159791655981463,0.94304
500,25,5,2,0.1,1.71496223345255,0.00657440189669616,0.0063890852742699,0.94704
200,100,5,2,0.1,2.01279911126352,0.0162944110950746,0.0159793008647669,0.94556
500,100,5,2,0.1,2.00214760184513,0.00619713756571624,0.00613136796739322,0.95044
200,25,1,5,0.1,5.07684539181198,0.031041935671533,0.0264524350712871,0.9512
500,25,1,5,0.1,4.33940229970852,0.0113151057292596,0.0102644942061151,0.9432
200,100,1,5,0.1,4.61408922166781,0.0289429475086577,0.0277355262334114,0.947
500,100,1,5,0.1,4.8701727726728,0.0119312689314295,0.0114913739793113,0.943
200,25,5,5,0.1,3.87490004753788,0.0328270326263007,0.0296665322410797,0.93728
500,25,5,5,0.1,3.89162119827426,0.0123171815381098,0.0110055086050951,0.94368
200,100,5,5,0.1,4.43337333969153,0.0302952543455023,0.0291976684303671,0.94084
500,100,5,5,0.1,4.80357823342001,0.012356446790919,0.0118632417720904,0.94756
200,25,1,2,0.9,1.63975563271377,0.0144262042038175,0.0158888487580444,0.9336
500,25,1,2,0.9,1.68048345399505,0.00608441210294153,0.00686702003248174,0.9384
200,100,1,2,0.9,2.49064899845481,0.0172767879672214,0.0173842700727535,0.9458
500,100,1,2,0.9,1.86702976566216,0.0058825059894048,0.00591761708661182,0.9466
200,25,5,2,0.9,1.66161204775588,0.0160405275355864,0.0177267924748097,0.94672
500,25,5,2,0.9,1.63317567409703,0.00595796755477766,0.00673635468873532,0.94736
200,100,5,2,0.9,1.99998444870633,0.0159088697433488,0.016078667438128,0.9464
500,100,5,2,0.9,1.63568815169917,0.00563879817541289,0.00573033948818807,0.94752
200,25,1,5,0.9,5.3870020472121,0.0323555652071676,0.0333656646837621,0.9496
500,25,1,5,0.9,5.18133855827071,0.0119090622114597,0.0131693248236509,0.9472
200,100,1,5,0.9,4.77162733994452,0.0282188977231823,0.0279901381939754,0.951
500,100,1,5,0.9,4.99594032764412,0.0122103957740104,0.0120565979660951,0.9512
200,25,5,5,0.9,4.30630485277768,0.0329021825230785,0.0389401422916964,0.944
500,25,5,5,0.9,4.04998274489925,0.0117274377309652,0.0131898252997171,0.95152
200,100,5,5,0.9,4.80688774747483,0.0315387245859974,0.0313160122060619,0.94244
500,100,5,5,0.9,4.81807367465,0.0125885953762192,0.0125220249350776,0.94464
